




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.3954044 Released 2020-07-16
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20851)	upload_1 (4575)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
positive regulation of cell morphogenesis involved in differentiation (GO:0010770)	159	65	34.89	+	1.86	5.02E-05	1.53E-03
retrograde transport, endosome to Golgi (GO:0042147)	93	38	20.41	+	1.86	1.91E-03	3.63E-02
regulation of G protein-coupled receptor signaling pathway (GO:0008277)	147	60	32.25	+	1.86	1.17E-04	3.20E-03
RNA transport (GO:0050658)	201	82	44.10	+	1.86	5.32E-06	2.17E-04
nucleic acid transport (GO:0050657)	201	82	44.10	+	1.86	5.32E-06	2.16E-04
antigen processing and presentation of peptide antigen (GO:0048002)	194	79	42.57	+	1.86	7.88E-06	3.03E-04
protein transport (GO:0015031)	1509	614	331.10	+	1.85	3.10E-38	2.46E-35
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	327	133	71.75	+	1.85	6.56E-09	4.61E-07
nucleocytoplasmic transport (GO:0006913)	268	109	58.80	+	1.85	1.59E-07	8.83E-06
positive regulation of cellular protein catabolic process (GO:1903364)	150	61	32.91	+	1.85	9.52E-05	2.67E-03
protein localization to cell junction (GO:1902414)	91	37	19.97	+	1.85	2.47E-03	4.49E-02
interleukin-1-mediated signaling pathway (GO:0070498)	96	39	21.06	+	1.85	2.19E-03	4.09E-02
regulation of TOR signaling (GO:0032006)	101	41	22.16	+	1.85	1.37E-03	2.75E-02
positive regulation of cellular amide metabolic process (GO:0034250)	170	69	37.30	+	1.85	4.15E-05	1.29E-03
macromolecule catabolic process (GO:0009057)	1055	428	231.48	+	1.85	3.65E-26	1.23E-23
cellular response to oxygen levels (GO:0071453)	220	89	48.27	+	1.84	3.13E-06	1.35E-04
response to starvation (GO:0042594)	240	97	52.66	+	1.84	9.92E-07	4.74E-05
cellular response to hypoxia (GO:0071456)	193	78	42.35	+	1.84	1.08E-05	4.00E-04
regulation of cellular amide metabolic process (GO:0034248)	438	177	96.10	+	1.84	3.07E-11	2.84E-09
posttranscriptional regulation of gene expression (GO:0010608)	557	225	122.21	+	1.84	6.88E-14	8.41E-12
protein localization to cell periphery (GO:1990778)	243	98	53.32	+	1.84	1.12E-06	5.27E-05
ubiquitin-dependent protein catabolic process (GO:0006511)	536	216	117.61	+	1.84	2.24E-13	2.56E-11
positive regulation of autophagy (GO:0010508)	134	54	29.40	+	1.84	2.69E-04	6.73E-03
regulation of proteolysis involved in cellular protein catabolic process (GO:1903050)	226	91	49.59	+	1.84	2.91E-06	1.27E-04
protein-containing complex disassembly (GO:0032984)	226	91	49.59	+	1.84	2.91E-06	1.26E-04
regulation of cellular protein catabolic process (GO:1903362)	261	105	57.27	+	1.83	4.50E-07	2.32E-05
nuclear transport (GO:0051169)	271	109	59.46	+	1.83	2.55E-07	1.38E-05
translational termination (GO:0006415)	97	39	21.28	+	1.83	2.29E-03	4.26E-02
peptide transport (GO:0015833)	1541	619	338.12	+	1.83	3.74E-37	2.70E-34
establishment of protein localization (GO:0045184)	1594	640	349.75	+	1.83	1.62E-38	1.36E-35
regulation of neuron projection development (GO:0010975)	521	209	114.31	+	1.83	8.75E-13	9.33E-11
positive regulation of chromosome organization (GO:2001252)	192	77	42.13	+	1.83	1.98E-05	6.74E-04
symbiotic process (GO:0044403)	908	364	199.23	+	1.83	1.27E-21	3.30E-19
protein polyubiquitination (GO:0000209)	325	130	71.31	+	1.82	2.31E-08	1.49E-06
modification-dependent protein catabolic process (GO:0019941)	543	217	119.14	+	1.82	4.14E-13	4.57E-11
endosomal transport (GO:0016197)	238	95	52.22	+	1.82	1.85E-06	8.32E-05
modification-dependent macromolecule catabolic process (GO:0043632)	554	221	121.56	+	1.82	3.32E-13	3.72E-11
negative regulation of neuron projection development (GO:0010977)	153	61	33.57	+	1.82	1.54E-04	4.12E-03
negative regulation of protein catabolic process (GO:0042177)	133	53	29.18	+	1.82	5.03E-04	1.16E-02
positive regulation of proteolysis involved in cellular protein catabolic process (GO:1903052)	128	51	28.08	+	1.82	5.67E-04	1.29E-02
proteasomal protein catabolic process (GO:0010498)	349	139	76.58	+	1.82	8.73E-09	6.04E-07
action potential (GO:0001508)	98	39	21.50	+	1.81	2.43E-03	4.46E-02
mitochondrion organization (GO:0007005)	460	183	100.93	+	1.81	4.03E-11	3.68E-09
cellular nitrogen compound catabolic process (GO:0044270)	439	174	96.32	+	1.81	1.71E-10	1.44E-08
regulation of cellular catabolic process (GO:0031329)	878	348	192.65	+	1.81	5.89E-20	1.42E-17
cellular protein catabolic process (GO:0044257)	631	250	138.45	+	1.81	1.40E-14	1.80E-12
positive regulation of synaptic transmission (GO:0050806)	154	61	33.79	+	1.81	1.64E-04	4.35E-03
antigen processing and presentation of peptide antigen via MHC class I (GO:0002474)	101	40	22.16	+	1.80	2.74E-03	4.91E-02
regulation of cell cycle G2/M phase transition (GO:1902749)	215	85	47.17	+	1.80	9.87E-06	3.71E-04
amide transport (GO:0042886)	1576	623	345.80	+	1.80	6.97E-36	3.96E-33
heterocycle catabolic process (GO:0046700)	438	173	96.10	+	1.80	2.30E-10	1.89E-08
positive regulation of ubiquitin-dependent protein catabolic process (GO:2000060)	104	41	22.82	+	1.80	2.23E-03	4.15E-02
regulation of intracellular transport (GO:0032386)	363	143	79.65	+	1.80	1.09E-08	7.33E-07
regulation of trans-synaptic signaling (GO:0099177)	457	180	100.27	+	1.80	1.32E-10	1.12E-08
protein catabolic process (GO:0030163)	686	270	150.52	+	1.79	2.42E-15	3.49E-13
ribosome biogenesis (GO:0042254)	336	132	73.72	+	1.79	5.05E-08	3.11E-06
cellular response to starvation (GO:0009267)	196	77	43.01	+	1.79	3.29E-05	1.06E-03
cellular protein localization (GO:0034613)	1648	647	361.59	+	1.79	1.29E-36	8.23E-34
biological phase (GO:0044848)	270	106	59.24	+	1.79	9.39E-07	4.55E-05
mitotic cell cycle phase (GO:0098763)	270	106	59.24	+	1.79	9.39E-07	4.54E-05
cell cycle phase (GO:0022403)	270	106	59.24	+	1.79	9.39E-07	4.52E-05
modulation of chemical synaptic transmission (GO:0050804)	456	179	100.05	+	1.79	1.76E-10	1.47E-08
proteolysis involved in cellular protein catabolic process (GO:0051603)	599	235	131.43	+	1.79	2.05E-13	2.38E-11
cellular macromolecule localization (GO:0070727)	1657	650	363.57	+	1.79	1.27E-36	8.44E-34
signal release (GO:0023061)	204	80	44.76	+	1.79	2.36E-05	7.84E-04
positive regulation of intracellular transport (GO:0032388)	227	89	49.81	+	1.79	8.31E-06	3.19E-04
import into nucleus (GO:0051170)	120	47	26.33	+	1.79	1.14E-03	2.36E-02
developmental growth involved in morphogenesis (GO:0060560)	120	47	26.33	+	1.79	1.14E-03	2.36E-02
protein stabilization (GO:0050821)	189	74	41.47	+	1.78	4.81E-05	1.47E-03
regulation of extent of cell growth (GO:0061387)	115	45	25.23	+	1.78	1.79E-03	3.43E-02
negative regulation of catabolic process (GO:0009895)	320	125	70.21	+	1.78	1.36E-07	7.70E-06
regulation of catabolic process (GO:0009894)	1042	406	228.63	+	1.78	3.26E-22	8.78E-20
mitochondrial translation (GO:0032543)	113	44	24.79	+	1.77	1.70E-03	3.31E-02
aromatic compound catabolic process (GO:0019439)	456	177	100.05	+	1.77	4.65E-10	3.68E-08
vesicle organization (GO:0016050)	312	121	68.46	+	1.77	2.67E-07	1.43E-05
viral life cycle (GO:0019058)	222	86	48.71	+	1.77	1.81E-05	6.21E-04
multicellular organismal signaling (GO:0035637)	137	53	30.06	+	1.76	8.24E-04	1.79E-02
regulation of protein stability (GO:0031647)	300	116	65.82	+	1.76	5.96E-07	2.97E-05
regulation of mitochondrion organization (GO:0010821)	194	75	42.57	+	1.76	5.90E-05	1.76E-03
regulation of generation of precursor metabolites and energy (GO:0043467)	163	63	35.76	+	1.76	2.35E-04	5.99E-03
regulation of cell morphogenesis involved in differentiation (GO:0010769)	316	122	69.33	+	1.76	3.07E-07	1.62E-05
regulation of axonogenesis (GO:0050770)	192	74	42.13	+	1.76	7.49E-05	2.16E-03
positive regulation of chromatin organization (GO:1905269)	122	47	26.77	+	1.76	1.70E-03	3.31E-02
non-canonical Wnt signaling pathway (GO:0035567)	135	52	29.62	+	1.76	1.06E-03	2.23E-02
protein localization to plasma membrane (GO:0072659)	198	76	43.44	+	1.75	6.82E-05	2.00E-03
regulation of synapse structure or activity (GO:0050803)	240	92	52.66	+	1.75	1.03E-05	3.85E-04
regulation of exocytosis (GO:0017157)	227	87	49.81	+	1.75	2.19E-05	7.32E-04
regulation of vesicle-mediated transport (GO:0060627)	561	215	123.09	+	1.75	1.19E-11	1.12E-09
cell cycle G2/M phase transition (GO:0044839)	141	54	30.94	+	1.75	7.21E-04	1.59E-02
regulation of protein catabolic process (GO:0042176)	405	155	88.86	+	1.74	1.12E-08	7.46E-07
positive regulation of intracellular protein transport (GO:0090316)	186	71	40.81	+	1.74	1.17E-04	3.20E-03
negative regulation of neuron death (GO:1901215)	215	82	47.17	+	1.74	3.70E-05	1.16E-03
cellular protein-containing complex assembly (GO:0034622)	826	315	181.24	+	1.74	2.80E-16	4.44E-14
G2/M transition of mitotic cell cycle (GO:0000086)	139	53	30.50	+	1.74	9.10E-04	1.96E-02
peptidyl-serine phosphorylation (GO:0018105)	181	69	39.71	+	1.74	1.77E-04	4.66E-03
circadian rhythm (GO:0007623)	147	56	32.25	+	1.74	6.52E-04	1.46E-02
cell part morphogenesis (GO:0032990)	536	204	117.61	+	1.73	7.77E-11	6.91E-09
peptidyl-serine modification (GO:0018209)	205	78	44.98	+	1.73	6.49E-05	1.92E-03
regulation of intrinsic apoptotic signaling pathway (GO:2001242)	163	62	35.76	+	1.73	4.44E-04	1.04E-02
regulation of organelle assembly (GO:1902115)	195	74	42.79	+	1.73	1.15E-04	3.15E-03
neuron projection morphogenesis (GO:0048812)	506	192	111.02	+	1.73	3.25E-10	2.63E-08
positive regulation of protein catabolic process (GO:0045732)	232	88	50.90	+	1.73	2.62E-05	8.65E-04
plasma membrane bounded cell projection morphogenesis (GO:0120039)	510	193	111.90	+	1.72	3.70E-10	2.97E-08
regulation of cellular protein localization (GO:1903827)	571	216	125.29	+	1.72	3.07E-11	2.85E-09
regulation of gene expression, epigenetic (GO:0040029)	230	87	50.47	+	1.72	3.33E-05	1.07E-03
nucleobase-containing compound transport (GO:0015931)	262	99	57.49	+	1.72	8.75E-06	3.34E-04
nitrogen compound transport (GO:0071705)	1857	701	407.45	+	1.72	1.67E-35	8.84E-33
regulation of neuron apoptotic process (GO:0043523)	215	81	47.17	+	1.72	6.75E-05	1.98E-03
interaction with host (GO:0051701)	170	64	37.30	+	1.72	4.16E-04	9.88E-03
amino acid transport (GO:0006865)	133	50	29.18	+	1.71	1.86E-03	3.55E-02
regulation of synapse organization (GO:0050807)	229	86	50.25	+	1.71	4.37E-05	1.35E-03
cell projection morphogenesis (GO:0048858)	514	193	112.78	+	1.71	5.80E-10	4.56E-08
regulation of microtubule-based process (GO:0032886)	251	94	55.07	+	1.71	2.03E-05	6.87E-04
organelle localization (GO:0051640)	605	226	132.75	+	1.70	2.84E-11	2.67E-09
regulation of neuron differentiation (GO:0045664)	678	253	148.76	+	1.70	1.87E-12	1.90E-10
neuron projection development (GO:0031175)	697	260	152.93	+	1.70	1.05E-12	1.09E-10
establishment of organelle localization (GO:0051656)	389	145	85.35	+	1.70	1.35E-07	7.67E-06
regulation of intracellular protein transport (GO:0033157)	271	101	59.46	+	1.70	1.19E-05	4.29E-04
cellular amide metabolic process (GO:0043603)	813	303	178.38	+	1.70	1.01E-14	1.33E-12
proton transmembrane transport (GO:1902600)	137	51	30.06	+	1.70	2.14E-03	4.00E-02
antigen processing and presentation (GO:0019882)	223	83	48.93	+	1.70	6.69E-05	1.96E-03
regulation of ion transmembrane transporter activity (GO:0032412)	269	100	59.02	+	1.69	1.50E-05	5.26E-04
organophosphate catabolic process (GO:0046434)	140	52	30.72	+	1.69	1.75E-03	3.39E-02
protein localization (GO:0008104)	2200	817	482.71	+	1.69	9.69E-40	9.06E-37
establishment of localization in cell (GO:0051649)	2385	885	523.30	+	1.69	1.89E-43	2.32E-40
organic cyclic compound catabolic process (GO:1901361)	489	181	107.29	+	1.69	5.04E-09	3.61E-07
regulation of plasma membrane bounded cell projection organization (GO:0120035)	698	258	153.15	+	1.68	2.63E-12	2.61E-10
anaphase (GO:0051322)	157	58	34.45	+	1.68	1.23E-03	2.52E-02
mitotic anaphase (GO:0000090)	157	58	34.45	+	1.68	1.23E-03	2.52E-02
positive regulation of cellular protein localization (GO:1903829)	344	127	75.48	+	1.68	1.12E-06	5.27E-05
regulation of protein binding (GO:0043393)	214	79	46.95	+	1.68	1.23E-04	3.34E-03
positive regulation of cell projection organization (GO:0031346)	396	146	86.89	+	1.68	2.27E-07	1.23E-05
positive regulation of neuron differentiation (GO:0045666)	383	141	84.04	+	1.68	3.62E-07	1.89E-05
synapse organization (GO:0050808)	294	108	64.51	+	1.67	1.02E-05	3.82E-04
membrane fusion (GO:0061025)	147	54	32.25	+	1.67	1.65E-03	3.22E-02
response to insulin (GO:0032868)	240	88	52.66	+	1.67	6.38E-05	1.89E-03
cell morphogenesis involved in neuron differentiation (GO:0048667)	457	167	100.27	+	1.67	4.56E-08	2.83E-06
regulation of histone modification (GO:0031056)	156	57	34.23	+	1.67	1.61E-03	3.15E-02
regulation of neuron death (GO:1901214)	323	118	70.87	+	1.67	4.41E-06	1.85E-04
regulation of regulated secretory pathway (GO:1903305)	167	61	36.64	+	1.66	9.48E-04	2.03E-02
regulation of phosphatase activity (GO:0010921)	178	65	39.06	+	1.66	7.32E-04	1.61E-02
regulation of protein modification by small protein conjugation or removal (GO:1903320)	241	88	52.88	+	1.66	8.68E-05	2.47E-03
regulation of cell projection organization (GO:0031344)	707	258	155.13	+	1.66	8.27E-12	7.92E-10
regulation of transmembrane transporter activity (GO:0022898)	280	102	61.44	+	1.66	2.14E-05	7.19E-04
generation of precursor metabolites and energy (GO:0006091)	412	150	90.40	+	1.66	2.76E-07	1.48E-05
electron transport chain (GO:0022900)	176	64	38.62	+	1.66	9.23E-04	1.98E-02
neuron development (GO:0048666)	848	308	186.06	+	1.66	9.35E-14	1.13E-11
regulation of cellular localization (GO:0060341)	1025	372	224.90	+	1.65	2.09E-16	3.36E-14
regulation of protein polymerization (GO:0032271)	237	86	52.00	+	1.65	1.04E-04	2.90E-03
negative regulation of neuron differentiation (GO:0045665)	226	82	49.59	+	1.65	1.74E-04	4.60E-03
M phase (GO:0000279)	171	62	37.52	+	1.65	1.06E-03	2.22E-02
mitotic M phase (GO:0000087)	171	62	37.52	+	1.65	1.06E-03	2.22E-02
learning (GO:0007612)	149	54	32.69	+	1.65	2.33E-03	4.31E-02
regulation of cation channel activity (GO:2001257)	185	67	40.59	+	1.65	6.81E-04	1.52E-02
RNA metabolic process (GO:0016070)	1626	588	356.77	+	1.65	1.03E-25	3.42E-23
regulation of chromatin organization (GO:1902275)	213	77	46.74	+	1.65	2.81E-04	7.01E-03
regulation of dephosphorylation (GO:0035303)	213	77	46.74	+	1.65	2.81E-04	6.99E-03
ncRNA processing (GO:0034470)	432	156	94.79	+	1.65	2.13E-07	1.17E-05
protein localization to nucleus (GO:0034504)	169	61	37.08	+	1.65	1.33E-03	2.69E-02
axon development (GO:0061564)	428	154	93.91	+	1.64	3.30E-07	1.74E-05
axonogenesis (GO:0007409)	392	141	86.01	+	1.64	1.11E-06	5.25E-05
regulation of transporter activity (GO:0032409)	292	105	64.07	+	1.64	2.34E-05	7.79E-04
cellular response to nutrient levels (GO:0031669)	246	88	53.98	+	1.63	1.34E-04	3.64E-03
protein-containing complex subunit organization (GO:0043933)	1550	554	340.09	+	1.63	3.32E-23	9.78E-21
cellular component morphogenesis (GO:0032989)	624	223	136.91	+	1.63	9.01E-10	7.02E-08
regulation of binding (GO:0051098)	375	134	82.28	+	1.63	2.75E-06	1.20E-04
regulation of protein ubiquitination (GO:0031396)	210	75	46.08	+	1.63	4.54E-04	1.07E-02
positive regulation of cellular catabolic process (GO:0031331)	395	141	86.67	+	1.63	1.59E-06	7.23E-05
positive regulation of mitotic cell cycle (GO:0045931)	157	56	34.45	+	1.63	2.28E-03	4.23E-02
protein-containing complex assembly (GO:0065003)	1305	465	286.34	+	1.62	3.07E-19	6.78E-17
regulation of mitotic cell cycle phase transition (GO:1901990)	419	149	91.93	+	1.62	7.88E-07	3.87E-05
positive regulation of catabolic process (GO:0009896)	464	165	101.81	+	1.62	2.24E-07	1.22E-05
macromolecule localization (GO:0033036)	2551	903	559.72	+	1.61	6.92E-38	5.24E-35
cellular component disassembly (GO:0022411)	404	143	88.64	+	1.61	1.58E-06	7.21E-05
cellular response to peptide hormone stimulus (GO:0071375)	277	98	60.78	+	1.61	7.94E-05	2.28E-03
negative regulation of cellular component organization (GO:0051129)	724	256	158.86	+	1.61	1.22E-10	1.04E-08
cellular localization (GO:0051641)	3015	1065	661.53	+	1.61	2.20E-45	3.17E-42
positive regulation of organelle organization (GO:0010638)	642	226	140.86	+	1.60	1.92E-09	1.46E-07
phospholipid biosynthetic process (GO:0008654)	256	90	56.17	+	1.60	1.78E-04	4.69E-03
negative regulation of neurogenesis (GO:0050768)	293	103	64.29	+	1.60	7.00E-05	2.04E-03
purine nucleotide biosynthetic process (GO:0006164)	165	58	36.20	+	1.60	2.79E-03	4.98E-02
microtubule cytoskeleton organization involved in mitosis (GO:1902850)	185	65	40.59	+	1.60	1.58E-03	3.11E-02
gene expression (GO:0010467)	2112	742	463.40	+	1.60	1.17E-29	4.79E-27
regulation of protein-containing complex assembly (GO:0043254)	456	160	100.05	+	1.60	6.95E-07	3.43E-05
organic substance transport (GO:0071702)	2218	778	486.66	+	1.60	3.88E-31	1.81E-28
regulation of cation transmembrane transport (GO:1904062)	354	124	77.67	+	1.60	1.37E-05	4.85E-04
locomotory behavior (GO:0007626)	200	70	43.88	+	1.60	1.05E-03	2.21E-02
positive regulation of cellular component organization (GO:0051130)	1225	428	268.78	+	1.59	1.55E-16	2.54E-14
response to light stimulus (GO:0009416)	312	109	68.46	+	1.59	5.12E-05	1.55E-03
calcium ion transmembrane transport (GO:0070588)	189	66	41.47	+	1.59	1.75E-03	3.39E-02
response to oxygen levels (GO:0070482)	385	134	84.47	+	1.59	7.94E-06	3.05E-04
regulation of mitotic cell cycle (GO:0007346)	638	222	139.99	+	1.59	6.40E-09	4.52E-07
response to decreased oxygen levels (GO:0036293)	360	125	78.99	+	1.58	1.61E-05	5.60E-04
regulation of lipid biosynthetic process (GO:0046890)	199	69	43.66	+	1.58	1.35E-03	2.72E-02
regulation of cell cycle phase transition (GO:1901987)	456	158	100.05	+	1.58	1.52E-06	6.99E-05
response to hypoxia (GO:0001666)	347	120	76.14	+	1.58	3.27E-05	1.05E-03
glycerophospholipid biosynthetic process (GO:0046474)	220	76	48.27	+	1.57	1.01E-03	2.14E-02
neuron differentiation (GO:0030182)	1046	361	229.51	+	1.57	1.93E-13	2.25E-11
regulation of organelle organization (GO:0033043)	1336	461	293.14	+	1.57	5.07E-17	8.95E-15
regulation of protein localization to membrane (GO:1905475)	200	69	43.88	+	1.57	1.77E-03	3.41E-02
negative regulation of nervous system development (GO:0051961)	317	109	69.55	+	1.57	7.65E-05	2.20E-03
regulation of neurogenesis (GO:0050767)	847	291	185.84	+	1.57	7.81E-11	6.90E-09
post-translational protein modification (GO:0043687)	361	124	79.21	+	1.57	2.73E-05	8.97E-04
regulation of Ras protein signal transduction (GO:0046578)	198	68	43.44	+	1.57	2.19E-03	4.09E-02
cellular catabolic process (GO:0044248)	1818	624	398.89	+	1.56	1.14E-22	3.14E-20
ribose phosphate metabolic process (GO:0019693)	338	116	74.16	+	1.56	5.69E-05	1.71E-03
purine ribonucleotide metabolic process (GO:0009150)	312	107	68.46	+	1.56	1.11E-04	3.06E-03
ncRNA metabolic process (GO:0034660)	525	180	115.19	+	1.56	4.56E-07	2.34E-05
ribonucleotide metabolic process (GO:0009259)	327	112	71.75	+	1.56	7.38E-05	2.14E-03
generation of neurons (GO:0048699)	1585	542	347.77	+	1.56	2.18E-19	4.95E-17
protein deubiquitination (GO:0016579)	278	95	61.00	+	1.56	3.01E-04	7.42E-03
protein modification by small protein removal (GO:0070646)	296	101	64.95	+	1.56	2.12E-04	5.45E-03
regulation of cellular component biogenesis (GO:0044087)	982	335	215.46	+	1.55	4.60E-12	4.55E-10
regulation of chromosome organization (GO:0033044)	367	125	80.52	+	1.55	4.00E-05	1.25E-03
positive regulation of neurogenesis (GO:0050769)	489	166	107.29	+	1.55	1.95E-06	8.74E-05
negative regulation of cell development (GO:0010721)	336	114	73.72	+	1.55	9.00E-05	2.55E-03
glycerolipid biosynthetic process (GO:0045017)	239	81	52.44	+	1.54	9.52E-04	2.03E-02
spindle organization (GO:0007051)	225	76	49.37	+	1.54	1.48E-03	2.94E-02
negative regulation of protein modification process (GO:0031400)	611	206	134.06	+	1.54	1.54E-07	8.58E-06
negative regulation of apoptotic signaling pathway (GO:2001234)	232	78	50.90	+	1.53	1.70E-03	3.31E-02
regulation of cell cycle process (GO:0010564)	762	256	167.19	+	1.53	6.22E-09	4.43E-07
plasma membrane bounded cell projection organization (GO:0120036)	1149	386	252.11	+	1.53	4.99E-13	5.44E-11
organic substance catabolic process (GO:1901575)	1780	597	390.56	+	1.53	7.30E-20	1.73E-17
covalent chromatin modification (GO:0016569)	373	125	81.84	+	1.53	5.90E-05	1.76E-03
MAPK cascade (GO:0000165)	406	136	89.08	+	1.53	3.43E-05	1.09E-03
neurogenesis (GO:0022008)	1690	566	370.81	+	1.53	1.13E-18	2.40E-16
cellular response to stress (GO:0033554)	1756	588	385.29	+	1.53	2.05E-19	4.72E-17
nucleic acid metabolic process (GO:0090304)	2238	749	491.05	+	1.53	6.25E-25	1.99E-22
cellular response to extracellular stimulus (GO:0031668)	278	93	61.00	+	1.52	6.32E-04	1.42E-02
regulation of protein localization (GO:0032880)	993	332	217.88	+	1.52	4.13E-11	3.75E-09
cellular response to peptide (GO:1901653)	338	113	74.16	+	1.52	1.54E-04	4.12E-03
histone modification (GO:0016570)	369	123	80.96	+	1.52	8.69E-05	2.47E-03
negative regulation of organelle organization (GO:0010639)	402	134	88.20	+	1.52	4.05E-05	1.26E-03
brain development (GO:0007420)	775	258	170.05	+	1.52	1.02E-08	6.99E-07
regulation of cellular component organization (GO:0051128)	2440	812	535.37	+	1.52	1.31E-26	4.61E-24
cellular component biogenesis (GO:0044085)	2652	882	581.89	+	1.52	3.78E-29	1.47E-26
endomembrane system organization (GO:0010256)	473	157	103.78	+	1.51	1.21E-05	4.36E-04
signal transduction by protein phosphorylation (GO:0023014)	419	139	91.93	+	1.51	3.53E-05	1.12E-03
positive regulation of nervous system development (GO:0051962)	556	184	121.99	+	1.51	2.26E-06	1.01E-04
regulation of cell morphogenesis (GO:0022604)	508	168	111.46	+	1.51	5.91E-06	2.37E-04
regulation of nervous system development (GO:0051960)	962	318	211.08	+	1.51	3.09E-10	2.54E-08
purine nucleotide metabolic process (GO:0006163)	339	112	74.38	+	1.51	2.51E-04	6.34E-03
regulation of supramolecular fiber organization (GO:1902903)	376	124	82.50	+	1.50	1.25E-04	3.41E-03
cellular nitrogen compound biosynthetic process (GO:0044271)	1577	520	346.02	+	1.50	4.22E-16	6.51E-14
microtubule-based process (GO:0007017)	798	263	175.09	+	1.50	1.57E-08	1.04E-06
organonitrogen compound biosynthetic process (GO:1901566)	1405	463	308.28	+	1.50	2.32E-14	2.93E-12
microtubule cytoskeleton organization (GO:0000226)	562	185	123.31	+	1.50	2.55E-06	1.12E-04
cellular macromolecule biosynthetic process (GO:0034645)	1647	542	361.37	+	1.50	1.08E-16	1.81E-14
response to radiation (GO:0009314)	441	145	96.76	+	1.50	3.38E-05	1.08E-03
rhythmic process (GO:0048511)	277	91	60.78	+	1.50	1.26E-03	2.56E-02
nucleobase-containing compound metabolic process (GO:0006139)	2738	899	600.76	+	1.50	3.75E-28	1.39E-25
organophosphate biosynthetic process (GO:0090407)	533	175	116.95	+	1.50	5.87E-06	2.36E-04
regulation of ion transmembrane transport (GO:0034765)	494	162	108.39	+	1.49	1.42E-05	5.02E-04
catabolic process (GO:0009056)	2096	687	459.89	+	1.49	5.79E-21	1.46E-18
cell projection organization (GO:0030030)	1196	392	262.42	+	1.49	5.05E-12	4.95E-10
regulation of apoptotic signaling pathway (GO:2001233)	409	134	89.74	+	1.49	9.21E-05	2.59E-03
nucleotide metabolic process (GO:0009117)	431	141	94.57	+	1.49	5.54E-05	1.67E-03
regulation of cellular response to stress (GO:0080135)	752	246	165.00	+	1.49	8.43E-08	5.06E-06
learning or memory (GO:0007611)	266	87	58.36	+	1.49	1.63E-03	3.20E-02
organonitrogen compound catabolic process (GO:1901565)	1083	354	237.63	+	1.49	8.52E-11	7.44E-09
head development (GO:0060322)	820	268	179.92	+	1.49	2.32E-08	1.49E-06
phosphorylation (GO:0016310)	1309	427	287.21	+	1.49	9.04E-13	9.58E-11
chemical synaptic transmission (GO:0007268)	417	136	91.50	+	1.49	8.50E-05	2.43E-03
anterograde trans-synaptic signaling (GO:0098916)	417	136	91.50	+	1.49	8.50E-05	2.43E-03
regulation of cell cycle (GO:0051726)	1200	391	263.30	+	1.49	1.07E-11	1.02E-09
glycerophospholipid metabolic process (GO:0006650)	326	106	71.53	+	1.48	6.20E-04	1.39E-02
regulation of membrane potential (GO:0042391)	440	143	96.54	+	1.48	6.49E-05	1.92E-03
cell-cell signaling by wnt (GO:0198738)	348	113	76.36	+	1.48	3.76E-04	9.17E-03
Wnt signaling pathway (GO:0016055)	348	113	76.36	+	1.48	3.76E-04	9.15E-03
cellular response to hormone stimulus (GO:0032870)	533	173	116.95	+	1.48	1.15E-05	4.21E-04
positive regulation of cell development (GO:0010720)	567	184	124.41	+	1.48	5.51E-06	2.23E-04
peptidyl-amino acid modification (GO:0018193)	897	291	196.81	+	1.48	9.26E-09	6.37E-07
protein modification by small protein conjugation (GO:0032446)	820	266	179.92	+	1.48	4.53E-08	2.83E-06
cellular component assembly (GO:0022607)	2391	775	524.62	+	1.48	1.12E-22	3.11E-20
nervous system development (GO:0007399)	2430	787	533.18	+	1.48	5.08E-23	1.44E-20
neuron projection guidance (GO:0097485)	281	91	61.66	+	1.48	1.70E-03	3.31E-02
regulation of establishment of protein localization (GO:0070201)	695	225	152.49	+	1.48	5.75E-07	2.88E-05
macromolecule biosynthetic process (GO:0009059)	1699	550	372.78	+	1.48	8.38E-16	1.26E-13
organelle organization (GO:0006996)	3563	1153	781.77	+	1.47	2.74E-35	1.41E-32
nucleoside phosphate metabolic process (GO:0006753)	439	142	96.32	+	1.47	8.00E-05	2.29E-03
regulation of small molecule metabolic process (GO:0062012)	458	148	100.49	+	1.47	5.72E-05	1.71E-03
membrane organization (GO:0061024)	939	303	206.03	+	1.47	6.23E-09	4.43E-07
regulation of cell development (GO:0060284)	977	315	214.37	+	1.47	3.81E-09	2.76E-07
regulation of cytoskeleton organization (GO:0051493)	563	181	123.53	+	1.47	1.22E-05	4.40E-04
axon guidance (GO:0007411)	280	90	61.44	+	1.46	2.09E-03	3.94E-02
response to peptide hormone (GO:0043434)	405	130	88.86	+	1.46	2.10E-04	5.43E-03
protein ubiquitination (GO:0016567)	742	238	162.81	+	1.46	5.17E-07	2.62E-05
cell morphogenesis involved in differentiation (GO:0000904)	568	182	124.63	+	1.46	1.32E-05	4.73E-04
