




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.3954044 Released 2020-07-16
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20851)	upload_1 (3022)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
cytosolic transport (GO:0016482)	148	41	21.45	+	1.91	5.70E-04	1.49E-02
regulation of macroautophagy (GO:0016241)	177	49	25.65	+	1.91	1.68E-04	5.30E-03
regulation of protein dephosphorylation (GO:0035304)	141	39	20.44	+	1.91	6.61E-04	1.69E-02
organelle localization by membrane tethering (GO:0140056)	170	47	24.64	+	1.91	1.94E-04	6.04E-03
regulation of protein ubiquitination (GO:0031396)	210	58	30.44	+	1.91	3.96E-05	1.47E-03
establishment of RNA localization (GO:0051236)	203	56	29.42	+	1.90	4.70E-05	1.71E-03
regulation of protein binding (GO:0043393)	214	59	31.02	+	1.90	3.20E-05	1.21E-03
negative regulation of chromosome organization (GO:2001251)	138	38	20.00	+	1.90	8.62E-04	2.09E-02
RNA processing (GO:0006396)	923	254	133.77	+	1.90	1.88E-18	3.94E-16
rhythmic process (GO:0048511)	277	76	40.15	+	1.89	3.38E-06	1.60E-04
regulation of protein modification by small protein conjugation or removal (GO:1903320)	241	66	34.93	+	1.89	1.30E-05	5.40E-04
regulation of translation (GO:0006417)	380	104	55.07	+	1.89	5.23E-08	3.54E-06
RNA transport (GO:0050658)	201	55	29.13	+	1.89	8.98E-05	3.01E-03
nucleic acid transport (GO:0050657)	201	55	29.13	+	1.89	8.98E-05	3.01E-03
positive regulation of proteolysis involved in cellular protein catabolic process (GO:1903052)	128	35	18.55	+	1.89	1.88E-03	4.02E-02
G2/M transition of mitotic cell cycle (GO:0000086)	139	38	20.15	+	1.89	9.17E-04	2.20E-02
regulation of protein stability (GO:0031647)	300	82	43.48	+	1.89	1.22E-06	6.26E-05
posttranscriptional regulation of gene expression (GO:0010608)	557	152	80.73	+	1.88	4.01E-11	4.09E-09
regulation of G2/M transition of mitotic cell cycle (GO:0010389)	198	54	28.70	+	1.88	8.37E-05	2.84E-03
regulation of vesicle-mediated transport (GO:0060627)	561	153	81.31	+	1.88	3.22E-11	3.37E-09
cellular protein catabolic process (GO:0044257)	631	172	91.45	+	1.88	1.99E-12	2.47E-10
cellular protein-containing complex assembly (GO:0034622)	826	225	119.71	+	1.88	5.57E-16	1.08E-13
cell part morphogenesis (GO:0032990)	536	146	77.68	+	1.88	9.03E-11	8.81E-09
pallium development (GO:0021543)	180	49	26.09	+	1.88	1.94E-04	6.03E-03
protein localization to nucleus (GO:0034504)	169	46	24.49	+	1.88	2.85E-04	8.50E-03
negative regulation of cellular catabolic process (GO:0031330)	261	71	37.83	+	1.88	8.54E-06	3.71E-04
regulation of cellular protein catabolic process (GO:1903362)	261	71	37.83	+	1.88	8.54E-06	3.70E-04
protein transport (GO:0015031)	1509	410	218.70	+	1.87	7.88E-29	6.26E-26
regulation of protein catabolic process (GO:0042176)	405	110	58.70	+	1.87	2.86E-08	2.01E-06
positive regulation of protein catabolic process (GO:0045732)	232	63	33.62	+	1.87	2.87E-05	1.10E-03
positive regulation of binding (GO:0051099)	177	48	25.65	+	1.87	2.51E-04	7.63E-03
regulation of cation transmembrane transport (GO:1904062)	354	96	51.31	+	1.87	2.01E-07	1.25E-05
response to unfolded protein (GO:0006986)	166	45	24.06	+	1.87	3.69E-04	1.04E-02
nuclear export (GO:0051168)	166	45	24.06	+	1.87	3.69E-04	1.04E-02
neuron projection morphogenesis (GO:0048812)	506	137	73.34	+	1.87	5.89E-10	5.14E-08
negative regulation of transmembrane transport (GO:0034763)	122	33	17.68	+	1.87	2.29E-03	4.78E-02
protein stabilization (GO:0050821)	189	51	27.39	+	1.86	1.82E-04	5.71E-03
nucleus organization (GO:0006997)	152	41	22.03	+	1.86	7.06E-04	1.78E-02
protein export from nucleus (GO:0006611)	152	41	22.03	+	1.86	7.06E-04	1.78E-02
protein catabolic process (GO:0030163)	686	185	99.42	+	1.86	6.87E-13	9.10E-11
negative regulation of DNA metabolic process (GO:0051053)	141	38	20.44	+	1.86	1.40E-03	3.12E-02
regulation of neuron death (GO:1901214)	323	87	46.81	+	1.86	9.29E-07	4.92E-05
negative regulation of cellular amide metabolic process (GO:0034249)	156	42	22.61	+	1.86	7.72E-04	1.91E-02
establishment of protein localization (GO:0045184)	1594	429	231.02	+	1.86	1.97E-29	1.84E-26
endosomal transport (GO:0016197)	238	64	34.49	+	1.86	3.55E-05	1.33E-03
protein folding (GO:0006457)	227	61	32.90	+	1.85	5.07E-05	1.84E-03
plasma membrane bounded cell projection morphogenesis (GO:0120039)	510	137	73.92	+	1.85	9.78E-10	8.10E-08
cognition (GO:0050890)	309	83	44.78	+	1.85	2.38E-06	1.15E-04
cell projection morphogenesis (GO:0048858)	514	138	74.50	+	1.85	7.80E-10	6.53E-08
microtubule-based transport (GO:0099111)	190	51	27.54	+	1.85	1.92E-04	5.99E-03
neuron projection development (GO:0031175)	697	187	101.02	+	1.85	6.88E-13	9.04E-11
Golgi organization (GO:0007030)	138	37	20.00	+	1.85	1.84E-03	3.96E-02
peptide transport (GO:0015833)	1541	413	223.34	+	1.85	5.15E-28	3.28E-25
positive regulation of protein localization to membrane (GO:1905477)	131	35	18.99	+	1.84	2.14E-03	4.50E-02
electron transport chain (GO:0022900)	176	47	25.51	+	1.84	3.65E-04	1.03E-02
positive regulation of chromosome organization (GO:2001252)	192	51	27.83	+	1.83	2.90E-04	8.60E-03
regulation of proteasomal protein catabolic process (GO:0061136)	192	51	27.83	+	1.83	2.90E-04	8.58E-03
protein-containing complex disassembly (GO:0032984)	226	60	32.75	+	1.83	7.17E-05	2.49E-03
mitochondrion organization (GO:0007005)	460	122	66.67	+	1.83	1.44E-08	1.05E-06
cellular protein localization (GO:0034613)	1648	436	238.85	+	1.83	1.20E-28	9.12E-26
regulation of neuron differentiation (GO:0045664)	678	179	98.26	+	1.82	6.76E-12	7.90E-10
amide transport (GO:0042886)	1576	416	228.41	+	1.82	4.95E-27	2.81E-24
regulation of ion transmembrane transporter activity (GO:0032412)	269	71	38.99	+	1.82	1.70E-05	6.83E-04
cellular macromolecule localization (GO:0070727)	1657	437	240.15	+	1.82	2.26E-28	1.50E-25
positive regulation of neuron differentiation (GO:0045666)	383	101	55.51	+	1.82	3.62E-07	2.12E-05
cellular response to topologically incorrect protein (GO:0035967)	148	39	21.45	+	1.82	1.79E-03	3.88E-02
response to radiation (GO:0009314)	441	116	63.92	+	1.81	4.69E-08	3.19E-06
neuron development (GO:0048666)	848	223	122.90	+	1.81	2.20E-14	3.54E-12
rRNA processing (GO:0006364)	259	68	37.54	+	1.81	3.46E-05	1.30E-03
mitochondrial transport (GO:0006839)	225	59	32.61	+	1.81	1.03E-04	3.37E-03
RNA localization (GO:0006403)	225	59	32.61	+	1.81	1.03E-04	3.37E-03
ribosome biogenesis (GO:0042254)	336	88	48.70	+	1.81	2.81E-06	1.34E-04
regulation of proteolysis involved in cellular protein catabolic process (GO:1903050)	226	59	32.75	+	1.80	1.45E-04	4.63E-03
regulation of transmembrane transporter activity (GO:0022898)	280	73	40.58	+	1.80	2.33E-05	9.09E-04
regulation of transporter activity (GO:0032409)	292	76	42.32	+	1.80	1.68E-05	6.76E-04
axonogenesis (GO:0007409)	392	102	56.81	+	1.80	4.84E-07	2.77E-05
regulation of autophagy (GO:0010506)	350	91	50.73	+	1.79	2.16E-06	1.05E-04
regulation of cellular catabolic process (GO:0031329)	878	228	127.25	+	1.79	2.74E-14	4.27E-12
regulation of mRNA stability (GO:0043488)	189	49	27.39	+	1.79	5.45E-04	1.44E-02
rRNA metabolic process (GO:0016072)	270	70	39.13	+	1.79	3.48E-05	1.30E-03
mitotic prometaphase (GO:0000236)	170	44	24.64	+	1.79	1.23E-03	2.81E-02
positive regulation of cellular protein localization (GO:1903829)	344	89	49.86	+	1.79	3.58E-06	1.67E-04
regulation of cell junction assembly (GO:1901888)	201	52	29.13	+	1.79	3.90E-04	1.08E-02
negative regulation of organelle organization (GO:0010639)	402	104	58.26	+	1.79	4.65E-07	2.68E-05
negative regulation of protein modification process (GO:0031400)	611	158	88.55	+	1.78	4.79E-10	4.23E-08
regulation of phosphatase activity (GO:0010921)	178	46	25.80	+	1.78	7.99E-04	1.96E-02
cell morphogenesis involved in neuron differentiation (GO:0048667)	457	118	66.23	+	1.78	7.82E-08	5.12E-06
response to endoplasmic reticulum stress (GO:0034976)	256	66	37.10	+	1.78	6.51E-05	2.28E-03
negative regulation of cellular component organization (GO:0051129)	724	186	104.93	+	1.77	1.90E-11	2.03E-09
viral life cycle (GO:0019058)	222	57	32.18	+	1.77	2.58E-04	7.81E-03
response to calcium ion (GO:0051592)	152	39	22.03	+	1.77	2.13E-03	4.51E-02
regulation of plasma membrane bounded cell projection organization (GO:0120035)	698	179	101.16	+	1.77	5.00E-11	5.06E-09
regulation of histone modification (GO:0031056)	156	40	22.61	+	1.77	2.31E-03	4.79E-02
negative regulation of catabolic process (GO:0009895)	320	82	46.38	+	1.77	1.00E-05	4.27E-04
regulation of mRNA catabolic process (GO:0061013)	211	54	30.58	+	1.77	3.74E-04	1.04E-02
regulation of cell cycle G2/M phase transition (GO:1902749)	215	55	31.16	+	1.77	3.06E-04	8.98E-03
nitrogen compound transport (GO:0071705)	1857	475	269.14	+	1.76	1.66E-28	1.15E-25
regulation of epithelial cell migration (GO:0010632)	227	58	32.90	+	1.76	2.18E-04	6.71E-03
regulation of insulin secretion (GO:0050796)	188	48	27.25	+	1.76	7.68E-04	1.90E-02
positive regulation of cell projection organization (GO:0031346)	396	101	57.39	+	1.76	1.11E-06	5.79E-05
locomotory behavior (GO:0007626)	200	51	28.99	+	1.76	5.47E-04	1.44E-02
regulation of calcium ion transmembrane transport (GO:1903169)	157	40	22.75	+	1.76	2.39E-03	4.93E-02
axon development (GO:0061564)	428	109	62.03	+	1.76	4.97E-07	2.80E-05
regulation of membrane potential (GO:0042391)	440	112	63.77	+	1.76	3.56E-07	2.10E-05
aromatic compound catabolic process (GO:0019439)	456	116	66.09	+	1.76	2.07E-07	1.27E-05
regulation of catabolic process (GO:0009894)	1042	265	151.02	+	1.75	1.50E-15	2.75E-13
axon guidance (GO:0007411)	280	71	40.58	+	1.75	6.48E-05	2.27E-03
regulation of chromatin organization (GO:1902275)	213	54	30.87	+	1.75	4.10E-04	1.12E-02
heterocycle catabolic process (GO:0046700)	438	111	63.48	+	1.75	4.71E-07	2.70E-05
vesicle organization (GO:0016050)	312	79	45.22	+	1.75	2.17E-05	8.55E-04
regulation of cell projection organization (GO:0031344)	707	179	102.47	+	1.75	1.25E-10	1.17E-08
cellular nitrogen compound catabolic process (GO:0044270)	439	111	63.63	+	1.74	4.89E-07	2.78E-05
establishment of localization in cell (GO:0051649)	2385	603	345.67	+	1.74	1.23E-35	1.40E-32
neuron projection guidance (GO:0097485)	281	71	40.73	+	1.74	6.67E-05	2.33E-03
regulation of Ras protein signal transduction (GO:0046578)	198	50	28.70	+	1.74	7.34E-04	1.84E-02
generation of precursor metabolites and energy (GO:0006091)	412	104	59.71	+	1.74	1.22E-06	6.26E-05
nucleobase-containing compound transport (GO:0015931)	262	66	37.97	+	1.74	1.11E-04	3.64E-03
biological phase (GO:0044848)	270	68	39.13	+	1.74	9.66E-05	3.20E-03
mitotic cell cycle phase (GO:0098763)	270	68	39.13	+	1.74	9.66E-05	3.19E-03
cell cycle phase (GO:0022403)	270	68	39.13	+	1.74	9.66E-05	3.19E-03
protein localization (GO:0008104)	2200	554	318.85	+	1.74	4.15E-32	4.12E-29
RNA metabolic process (GO:0016070)	1626	409	235.66	+	1.74	3.88E-23	1.43E-20
cellular amide metabolic process (GO:0043603)	813	204	117.83	+	1.73	1.07E-11	1.23E-09
negative regulation of intracellular signal transduction (GO:1902532)	515	129	74.64	+	1.73	1.00E-07	6.49E-06
maintenance of location (GO:0051235)	168	42	24.35	+	1.72	2.37E-03	4.90E-02
cellular response to starvation (GO:0009267)	196	49	28.41	+	1.72	9.81E-04	2.33E-02
neuron differentiation (GO:0030182)	1046	261	151.60	+	1.72	1.71E-14	2.80E-12
covalent chromatin modification (GO:0016569)	373	93	54.06	+	1.72	8.00E-06	3.49E-04
regulation of ion transmembrane transport (GO:0034765)	494	123	71.60	+	1.72	2.19E-07	1.32E-05
regulation of dephosphorylation (GO:0035303)	213	53	30.87	+	1.72	7.73E-04	1.91E-02
cellular component morphogenesis (GO:0032989)	624	155	90.44	+	1.71	6.95E-09	5.22E-07
regulation of neurogenesis (GO:0050767)	847	210	122.76	+	1.71	1.33E-11	1.49E-09
regulation of gene expression, epigenetic (GO:0040029)	230	57	33.33	+	1.71	4.69E-04	1.26E-02
protein-containing complex assembly (GO:0065003)	1305	323	189.14	+	1.71	2.29E-17	4.61E-15
regulation of RNA stability (GO:0043487)	198	49	28.70	+	1.71	1.39E-03	3.09E-02
behavior (GO:0007610)	586	145	84.93	+	1.71	2.53E-08	1.79E-06
regulation of microtubule cytoskeleton organization (GO:0070507)	194	48	28.12	+	1.71	1.73E-03	3.76E-02
cell junction organization (GO:0034330)	510	126	73.92	+	1.70	2.34E-07	1.41E-05
Golgi vesicle transport (GO:0048193)	401	99	58.12	+	1.70	4.70E-06	2.17E-04
histone modification (GO:0016570)	369	91	53.48	+	1.70	1.37E-05	5.64E-04
generation of neurons (GO:0048699)	1585	389	229.72	+	1.69	2.17E-20	5.75E-18
regulation of transmembrane transport (GO:0034762)	579	142	83.92	+	1.69	5.51E-08	3.70E-06
synaptic signaling (GO:0099536)	465	114	67.39	+	1.69	1.30E-06	6.59E-05
chromatin organization (GO:0006325)	704	172	102.03	+	1.69	2.84E-09	2.22E-07
regulation of cellular localization (GO:0060341)	1025	250	148.56	+	1.68	4.87E-13	6.51E-11
organic cyclic compound catabolic process (GO:1901361)	489	119	70.87	+	1.68	9.36E-07	4.94E-05
protein polyubiquitination (GO:0000209)	325	79	47.10	+	1.68	7.83E-05	2.69E-03
protein-containing complex subunit organization (GO:0043933)	1550	376	224.65	+	1.67	4.68E-19	1.08E-16
gene expression (GO:0010467)	2112	511	306.10	+	1.67	6.31E-26	3.24E-23
regulation of cellular protein localization (GO:1903827)	571	138	82.76	+	1.67	2.07E-07	1.26E-05
telencephalon development (GO:0021537)	269	65	38.99	+	1.67	3.48E-04	9.92E-03
cellular localization (GO:0051641)	3015	728	436.97	+	1.67	3.54E-38	7.04E-35
neurogenesis (GO:0022008)	1690	408	244.94	+	1.67	2.48E-20	6.35E-18
positive regulation of neurogenesis (GO:0050769)	489	118	70.87	+	1.66	1.67E-06	8.27E-05
transcription by RNA polymerase II (GO:0006366)	419	101	60.73	+	1.66	9.63E-06	4.13E-04
trans-synaptic signaling (GO:0099537)	436	105	63.19	+	1.66	7.62E-06	3.36E-04
regulation of nervous system development (GO:0051960)	962	231	139.43	+	1.66	1.59E-11	1.74E-09
cell cycle phase transition (GO:0044770)	292	70	42.32	+	1.65	3.09E-04	9.06E-03
mitotic cell cycle phase transition (GO:0044772)	284	68	41.16	+	1.65	3.52E-04	1.00E-02
positive regulation of nervous system development (GO:0051962)	556	133	80.58	+	1.65	5.00E-07	2.80E-05
negative regulation of neuron differentiation (GO:0045665)	226	54	32.75	+	1.65	1.47E-03	3.25E-02
negative regulation of neurogenesis (GO:0050768)	293	70	42.47	+	1.65	3.17E-04	9.22E-03
ncRNA processing (GO:0034470)	432	103	62.61	+	1.65	1.27E-05	5.26E-04
cellular macromolecule biosynthetic process (GO:0034645)	1647	392	238.70	+	1.64	1.08E-18	2.29E-16
calcium ion transport (GO:0006816)	244	58	35.36	+	1.64	1.19E-03	2.72E-02
response to starvation (GO:0042594)	240	57	34.78	+	1.64	1.47E-03	3.24E-02
cellular response to extracellular stimulus (GO:0031668)	278	66	40.29	+	1.64	5.58E-04	1.46E-02
positive regulation of catabolic process (GO:0009896)	464	110	67.25	+	1.64	7.72E-06	3.39E-04
endomembrane system organization (GO:0010256)	473	112	68.55	+	1.63	6.93E-06	3.09E-04
macromolecule localization (GO:0033036)	2551	602	369.72	+	1.63	1.56E-28	1.13E-25
transcription, DNA-templated (GO:0006351)	568	134	82.32	+	1.63	8.61E-07	4.61E-05
RNA biosynthetic process (GO:0032774)	581	137	84.21	+	1.63	6.37E-07	3.54E-05
nucleic acid-templated transcription (GO:0097659)	569	134	82.47	+	1.62	8.92E-07	4.76E-05
cellular component disassembly (GO:0022411)	404	95	58.55	+	1.62	4.10E-05	1.51E-03
protein localization to cell periphery (GO:1990778)	243	57	35.22	+	1.62	1.58E-03	3.47E-02
regulation of chromosome organization (GO:0033044)	367	86	53.19	+	1.62	1.08E-04	3.55E-03
negative regulation of phosphorus metabolic process (GO:0010563)	572	134	82.90	+	1.62	1.23E-06	6.30E-05
macromolecule biosynthetic process (GO:0009059)	1699	398	246.24	+	1.62	5.47E-18	1.13E-15
organic substance transport (GO:0071702)	2218	517	321.46	+	1.61	3.25E-23	1.23E-20
negative regulation of phosphate metabolic process (GO:0045936)	571	133	82.76	+	1.61	1.63E-06	8.12E-05
positive regulation of cellular catabolic process (GO:0031331)	395	92	57.25	+	1.61	7.96E-05	2.73E-03
regulation of protein localization (GO:0032880)	993	231	143.92	+	1.61	2.24E-10	2.01E-08
chemical synaptic transmission (GO:0007268)	417	97	60.44	+	1.60	5.24E-05	1.88E-03
anterograde trans-synaptic signaling (GO:0098916)	417	97	60.44	+	1.60	5.24E-05	1.88E-03
plasma membrane bounded cell projection organization (GO:0120036)	1149	267	166.53	+	1.60	8.18E-12	9.43E-10
regulation of cell development (GO:0060284)	977	227	141.60	+	1.60	3.85E-10	3.42E-08
cellular response to nutrient levels (GO:0031669)	246	57	35.65	+	1.60	2.21E-03	4.64E-02
regulation of mitotic cell cycle phase transition (GO:1901990)	419	97	60.73	+	1.60	5.54E-05	1.97E-03
regulation of protein transport (GO:0051223)	670	155	97.11	+	1.60	3.61E-07	2.12E-05
negative regulation of cellular protein metabolic process (GO:0032269)	1060	245	153.63	+	1.59	1.08E-10	1.04E-08
positive regulation of cell development (GO:0010720)	567	131	82.18	+	1.59	3.38E-06	1.60E-04
brain development (GO:0007420)	775	179	112.32	+	1.59	4.01E-08	2.77E-06
negative regulation of nervous system development (GO:0051961)	317	73	45.94	+	1.59	5.29E-04	1.40E-02
regulation of establishment of protein localization (GO:0070201)	695	160	100.73	+	1.59	2.56E-07	1.54E-05
cellular nitrogen compound biosynthetic process (GO:0044271)	1577	362	228.56	+	1.58	3.31E-15	5.84E-13
cell projection organization (GO:0030030)	1196	274	173.34	+	1.58	1.44E-11	1.59E-09
negative regulation of protein metabolic process (GO:0051248)	1129	258	163.63	+	1.58	7.11E-11	7.11E-09
regulation of cell morphogenesis (GO:0022604)	508	116	73.63	+	1.58	1.80E-05	7.16E-04
nucleic acid metabolic process (GO:0090304)	2238	511	324.36	+	1.58	2.81E-21	8.11E-19
negative regulation of transferase activity (GO:0051348)	294	67	42.61	+	1.57	1.34E-03	3.01E-02
positive regulation of cellular component organization (GO:0051130)	1225	279	177.54	+	1.57	1.78E-11	1.93E-09
nervous system development (GO:0007399)	2430	552	352.19	+	1.57	1.19E-22	4.19E-20
regulation of cell growth (GO:0001558)	423	96	61.31	+	1.57	1.32E-04	4.23E-03
regulation of secretion by cell (GO:1903530)	683	155	98.99	+	1.57	1.01E-06	5.32E-05
regulation of peptide transport (GO:0090087)	703	159	101.89	+	1.56	8.35E-07	4.51E-05
regulation of cell cycle phase transition (GO:1901987)	456	103	66.09	+	1.56	8.05E-05	2.76E-03
head development (GO:0060322)	820	185	118.85	+	1.56	1.11E-07	7.07E-06
regulation of binding (GO:0051098)	375	84	54.35	+	1.55	4.86E-04	1.30E-02
regulation of organelle organization (GO:0033043)	1336	299	193.63	+	1.54	1.64E-11	1.78E-09
protein ubiquitination (GO:0016567)	742	166	107.54	+	1.54	7.31E-07	4.01E-05
central nervous system development (GO:0007417)	1024	229	148.41	+	1.54	5.53E-09	4.19E-07
cell morphogenesis involved in differentiation (GO:0000904)	568	127	82.32	+	1.54	1.70E-05	6.81E-04
regulation of cellular component organization (GO:0051128)	2440	541	353.64	+	1.53	3.60E-20	8.95E-18
forebrain development (GO:0030900)	406	90	58.84	+	1.53	3.74E-04	1.04E-02
cellular component biogenesis (GO:0044085)	2652	587	384.36	+	1.53	6.42E-22	2.04E-19
positive regulation of organelle organization (GO:0010638)	642	142	93.05	+	1.53	8.94E-06	3.86E-04
positive regulation of GTPase activity (GO:0043547)	412	91	59.71	+	1.52	4.05E-04	1.11E-02
negative regulation of transport (GO:0051051)	463	102	67.10	+	1.52	1.94E-04	6.03E-03
organonitrogen compound biosynthetic process (GO:1901566)	1405	309	203.63	+	1.52	3.52E-11	3.61E-09
organelle localization (GO:0051640)	605	133	87.68	+	1.52	2.29E-05	8.98E-04
peptidyl-amino acid modification (GO:0018193)	897	197	130.00	+	1.52	2.14E-07	1.30E-05
cellular component assembly (GO:0022607)	2391	525	346.54	+	1.51	7.63E-19	1.66E-16
protein modification by small protein conjugation (GO:0032446)	820	180	118.85	+	1.51	8.36E-07	4.50E-05
nucleobase-containing compound metabolic process (GO:0006139)	2738	601	396.83	+	1.51	9.39E-22	2.87E-19
regulation of mitotic cell cycle (GO:0007346)	638	140	92.47	+	1.51	1.39E-05	5.70E-04
positive regulation of protein transport (GO:0051222)	392	86	56.81	+	1.51	8.10E-04	1.97E-02
ncRNA metabolic process (GO:0034660)	525	115	76.09	+	1.51	8.63E-05	2.92E-03
mitotic cell cycle process (GO:1903047)	685	150	99.28	+	1.51	7.92E-06	3.47E-04
regulation of developmental growth (GO:0048638)	343	75	49.71	+	1.51	1.76E-03	3.81E-02
negative regulation of protein phosphorylation (GO:0001933)	412	90	59.71	+	1.51	6.60E-04	1.69E-02
protein modification by small protein conjugation or removal (GO:0070647)	1031	225	149.43	+	1.51	4.48E-08	3.07E-06
positive regulation of establishment of protein localization (GO:1904951)	408	89	59.13	+	1.51	6.35E-04	1.65E-02
regulation of supramolecular fiber organization (GO:1902903)	376	82	54.49	+	1.50	1.07E-03	2.49E-02
organic substance catabolic process (GO:1901575)	1780	388	257.98	+	1.50	2.05E-13	2.91E-11
regulation of cellular component biogenesis (GO:0044087)	982	214	142.32	+	1.50	9.89E-08	6.42E-06
negative regulation of macromolecule metabolic process (GO:0010605)	2867	624	415.52	+	1.50	6.22E-22	2.02E-19
regulation of protein secretion (GO:0050708)	386	84	55.94	+	1.50	9.66E-04	2.30E-02
organelle organization (GO:0006996)	3563	775	516.40	+	1.50	6.30E-28	3.85E-25
cellular nitrogen compound metabolic process (GO:0034641)	3398	738	492.48	+	1.50	3.25E-26	1.72E-23
cell surface receptor signaling pathway involved in cell-cell signaling (GO:1905114)	419	91	60.73	+	1.50	7.27E-04	1.83E-02
cell morphogenesis (GO:0000902)	728	158	105.51	+	1.50	6.92E-06	3.09E-04
negative regulation of phosphorylation (GO:0042326)	452	98	65.51	+	1.50	4.39E-04	1.18E-02
negative regulation of metabolic process (GO:0009892)	3118	676	451.90	+	1.50	1.52E-23	6.06E-21
regulation of transport (GO:0051049)	1841	399	266.82	+	1.50	1.69E-13	2.45E-11
regulation of ion transport (GO:0043269)	711	154	103.05	+	1.49	9.02E-06	3.89E-04
regulation of secretion (GO:0051046)	739	160	107.11	+	1.49	6.36E-06	2.86E-04
chromosome organization (GO:0051276)	1063	230	154.06	+	1.49	5.38E-08	3.62E-06
cellular catabolic process (GO:0044248)	1818	393	263.49	+	1.49	3.43E-13	4.70E-11
cellular protein metabolic process (GO:0044267)	3826	827	554.51	+	1.49	2.17E-29	1.91E-26
regulation of metal ion transport (GO:0010959)	398	86	57.68	+	1.49	1.12E-03	2.61E-02
mitotic cell cycle (GO:0000278)	762	164	110.44	+	1.48	6.74E-06	3.02E-04
transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	526	113	76.23	+	1.48	2.23E-04	6.84E-03
phosphorylation (GO:0016310)	1309	281	189.72	+	1.48	2.63E-09	2.07E-07
regulation of GTPase activity (GO:0043087)	485	104	70.29	+	1.48	4.22E-04	1.15E-02
negative regulation of gene expression (GO:0010629)	1982	424	287.26	+	1.48	1.39E-13	2.06E-11
regulation of DNA metabolic process (GO:0051052)	380	81	55.07	+	1.47	2.27E-03	4.76E-02
regulation of cell cycle process (GO:0010564)	762	162	110.44	+	1.47	1.35E-05	5.56E-04
negative regulation of cellular metabolic process (GO:0031324)	2624	557	380.30	+	1.46	2.25E-17	4.59E-15
secretion by cell (GO:0032940)	986	209	142.90	+	1.46	8.40E-07	4.51E-05
cellular response to stress (GO:0033554)	1756	372	254.50	+	1.46	1.85E-11	1.99E-09
regulation of small molecule metabolic process (GO:0062012)	458	97	66.38	+	1.46	9.51E-04	2.27E-02
microtubule cytoskeleton organization (GO:0000226)	562	119	81.45	+	1.46	2.23E-04	6.84E-03
negative regulation of nitrogen compound metabolic process (GO:0051172)	2425	513	351.46	+	1.46	9.97E-16	1.86E-13
organonitrogen compound catabolic process (GO:1901565)	1083	229	156.96	+	1.46	2.73E-07	1.63E-05
cellular macromolecule metabolic process (GO:0044260)	5149	1088	746.26	+	1.46	9.42E-38	1.66E-34
regulation of peptide secretion (GO:0002791)	417	88	60.44	+	1.46	1.80E-03	3.88E-02
heterocycle metabolic process (GO:0046483)	2934	619	425.23	+	1.46	4.80E-19	1.09E-16
microtubule-based process (GO:0007017)	798	168	115.66	+	1.45	1.62E-05	6.57E-04
cellular aromatic compound metabolic process (GO:0006725)	2982	627	432.19	+	1.45	6.14E-19	1.36E-16
regulation of cell cycle (GO:0051726)	1200	252	173.92	+	1.45	1.09E-07	6.97E-06
export from cell (GO:0140352)	1035	216	150.01	+	1.44	1.44E-06	7.21E-05
cellular response to hormone stimulus (GO:0032870)	533	111	77.25	+	1.44	7.39E-04	1.84E-02
catabolic process (GO:0009056)	2096	435	303.78	+	1.43	3.07E-12	3.69E-10
negative regulation of catalytic activity (GO:0043086)	820	170	118.85	+	1.43	3.16E-05	1.20E-03
positive regulation of cellular component biogenesis (GO:0044089)	541	112	78.41	+	1.43	8.04E-04	1.96E-02
nucleobase-containing compound biosynthetic process (GO:0034654)	1015	210	147.11	+	1.43	3.40E-06	1.60E-04
positive regulation of hydrolase activity (GO:0051345)	774	160	112.18	+	1.43	5.66E-05	2.01E-03
membrane organization (GO:0061024)	939	194	136.09	+	1.43	8.54E-06	3.72E-04
cellular component organization or biogenesis (GO:0071840)	5908	1220	856.26	+	1.42	8.74E-40	2.32E-36
response to organonitrogen compound (GO:0010243)	1008	208	146.09	+	1.42	3.97E-06	1.84E-04
regulation of protein-containing complex assembly (GO:0043254)	456	94	66.09	+	1.42	2.25E-03	4.72E-02
negative regulation of biosynthetic process (GO:0009890)	1586	326	229.86	+	1.42	7.10E-09	5.30E-07
proteolysis (GO:0006508)	1299	267	188.27	+	1.42	1.97E-07	1.23E-05
vesicle-mediated transport (GO:0016192)	1972	405	285.81	+	1.42	7.12E-11	7.07E-09
cellular component organization (GO:0016043)	5688	1166	824.38	+	1.41	5.21E-36	6.37E-33
response to abiotic stimulus (GO:0009628)	1167	239	169.14	+	1.41	1.24E-06	6.31E-05
negative regulation of cellular biosynthetic process (GO:0031327)	1556	318	225.52	+	1.41	1.87E-08	1.33E-06
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	1498	306	217.11	+	1.41	3.78E-08	2.62E-06
positive regulation of cell death (GO:0010942)	715	146	103.63	+	1.41	2.03E-04	6.27E-03
